GENESIS-Tabelle: 31131-0003
Bauüberhang an genehmigten Bauvorhaben im Hochbau: Deutschland, Stichtag, Gebäudeart, Bauherr;;;;;;;
Statistik des Bauüberhangs;;;;;;;
Deutschland;;;;;;;
;;;Gebäude/Baumaßnahmen;Rauminhalt in neuen Gebäuden;Nutzfläche;Wohnungen;Wohnfläche der Wohnungen
;;;Anzahl;1000 cbm;1000 qm;Anzahl;1000 qm
31.12.2018;Nichtwohngebäude;Wohnungsunternehmen;3793;25038;5176;5733;334
31.12.2018;Nichtwohngebäude;Immobilienfonds;783;14748;2019;312;23
31.12.2018;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;14769;56998;9375;883;88
31.12.2018;Nichtwohngebäude;Produzierendes Gewerbe;14222;113347;16218;847;93
31.12.2018;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;21059;141578;22468;5993;407
31.12.2018;Nichtwohngebäude;Private Haushalte;20197;22110;4337;4566;460
31.12.2018;Nichtwohngebäude;Organisationen ohne Erwerbszweck;4511;13228;2707;1343;57
31.12.2019;Wohngebäude;Öffentliche Bauherren;2278;6980;208;24735;1420
31.12.2019;Wohngebäude;Unternehmen;64768;149588;5156;391163;30816
31.12.2019;Wohngebäude;Wohnungsunternehmen;51736;125080;4531;319210;25427
31.12.2019;Wohngebäude;Immobilienfonds;1172;3519;46;11804;819
31.12.2019;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;2445;1861;35;3396;423
31.12.2019;Wohngebäude;Produzierendes Gewerbe;1764;2825;108;6746;576
31.12.2019;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;7651;16301;436;50007;3570
31.12.2019;Wohngebäude;Private Haushalte;244068;160962;6155;290010;36497
31.12.2019;Wohngebäude;Organisationen ohne Erwerbszweck;1654;4028;151;13466;798
31.12.2019;Nichtwohngebäude;Öffentliche Bauherren;10110;42662;7459;327;-14
31.12.2019;Nichtwohngebäude;Unternehmen;55487;368368;57651;14090;957
31.12.2019;Nichtwohngebäude;Wohnungsunternehmen;4071;29102;5971;6332;361
31.12.2019;Nichtwohngebäude;Immobilienfonds;855;16691;2287;389;25
31.12.2019;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;14645;55750;9203;882;91
31.12.2019;Nichtwohngebäude;Produzierendes Gewerbe;14370;116796;16943;894;97
31.12.2019;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;21546;150029;23248;5593;383
31.12.2019;Nichtwohngebäude;Private Haushalte;20968;22362;4389;5200;491
31.12.2019;Nichtwohngebäude;Organisationen ohne Erwerbszweck;4707;13933;2807;1376;52
31.12.2020;Wohngebäude;Öffentliche Bauherren;2246;7897;268;28052;1567
31.12.2020;Wohngebäude;Unternehmen;66018;154884;5371;410448;31887
31.12.2020;Wohngebäude;Wohnungsunternehmen;52933;130698;4738;338127;26545
31.12.2020;Wohngebäude;Immobilienfonds;1230;3184;16;10927;777
31.12.2020;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;2323;1739;28;3354;403
31.12.2020;Wohngebäude;Produzierendes Gewerbe;2007;3345;153;8316;687
31.12.2020;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;7525;15919;435;49724;3475
31.12.2020;Wohngebäude;Private Haushalte;254214;167706;6395;305933;38073
31.12.2020;Wohngebäude;Organisationen ohne Erwerbszweck;1535;3856;150;13436;761
31.12.2020;Nichtwohngebäude;Öffentliche Bauherren;10275;47017;8178;101;-17
31.12.2020;Nichtwohngebäude;Unternehmen;55081;398144;60322;14711;1040
31.12.2020;Nichtwohngebäude;Wohnungsunternehmen;4310;32858;6718;7280;426
31.12.2020;Nichtwohngebäude;Immobilienfonds;979;28167;3430;543;30
31.12.2020;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;14649;55056;9101;917;100
31.12.2020;Nichtwohngebäude;Produzierendes Gewerbe;13873;115626;16197;1000;102
31.12.2020;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;21270;166436;24877;4971;381
31.12.2020;Nichtwohngebäude;Private Haushalte;21922;22721;4491;5281;495
31.12.2020;Nichtwohngebäude;Organisationen ohne Erwerbszweck;4809;14358;2948;1470;57
31.12.2021;Wohngebäude;Öffentliche Bauherren;2405;8518;332;27347;1645
31.12.2021;Wohngebäude;Unternehmen;68382;162953;5953;430322;33230
31.12.2021;Wohngebäude;Wohnungsunternehmen;54914;136836;5176;355006;27656
31.12.2021;Wohngebäude;Immobilienfonds;1284;3678;60;12779;838
31.12.2021;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;2461;1839;39;3404;424
31.12.2021;Wohngebäude;Produzierendes Gewerbe;1990;3395;148;8350;702
31.12.2021;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;7733;17205;530;50783;3610
31.12.2021;Wohngebäude;Private Haushalte;289898;191611;7361;350919;43498
31.12.2021;Wohngebäude;Organisationen ohne Erwerbszweck;1557;3825;147;13051;772
31.12.2021;Nichtwohngebäude;Öffentliche Bauherren;10835;52883;9129;118;-17
31.12.2021;Nichtwohngebäude;Unternehmen;58704;422337;64188;17043;1180
31.12.2021;Nichtwohngebäude;Wohnungsunternehmen;4617;35941;7223;8427;490
31.12.2021;Nichtwohngebäude;Immobilienfonds;1126;29656;3658;612;42
31.12.2021;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;15973;60732;9981;1063;110
31.12.2021;Nichtwohngebäude;Produzierendes Gewerbe;14625;120225;16706;1099;111
31.12.2021;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;22363;175784;26620;5842;428
31.12.2021;Nichtwohngebäude;Private Haushalte;24396;25444;4972;5975;574
31.12.2021;Nichtwohngebäude;Organisationen ohne Erwerbszweck;4901;14571;2924;1692;68
31.12.2022;Wohngebäude;Öffentliche Bauherren;2588;9373;383;30241;1778
31.12.2022;Wohngebäude;Unternehmen;71404;171459;6415;447884;34761
31.12.2022;Wohngebäude;Wohnungsunternehmen;57510;144187;5577;372153;28998
31.12.2022;Wohngebäude;Immobilienfonds;1593;4279;95;13646;951
31.12.2022;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;2506;1885;32;3505;440
31.12.2022;Wohngebäude;Produzierendes Gewerbe;1848;3249;164;8064;662
31.12.2022;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;7947;17859;546;50516;3710
31.12.2022;Wohngebäude;Private Haushalte;297337;195692;7200;368067;45249
31.12.2022;Wohngebäude;Organisationen ohne Erwerbszweck;1604;3690;147;12016;743
31.12.2022;Nichtwohngebäude;Öffentliche Bauherren;11058;57582;9897;197;-8
31.12.2022;Nichtwohngebäude;Unternehmen;60059;455227;68186;18360;1309
31.12.2022;Nichtwohngebäude;Wohnungsunternehmen;4964;37493;7395;9137;572
31.12.2022;Nichtwohngebäude;Immobilienfonds;1223;35740;4440;885;62
31.12.2022;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;15985;60448;9864;1054;114
31.12.2022;Nichtwohngebäude;Produzierendes Gewerbe;15343;133845;18032;1278;121
31.12.2022;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;22544;187701;28456;6006;440
31.12.2022;Nichtwohngebäude;Private Haushalte;25117;26879;5113;6354;598
31.12.2022;Nichtwohngebäude;Organisationen ohne Erwerbszweck;4792;13599;2743;1707;73
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 28.01.2024 / 11:24:30
