GENESIS-Tabelle: 31121-0004
Baufertigstellungen neuer Gebäude: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;
Gebäudeart, Energieverwendung, Energieart;;;;;;;;;;;;;;;;;;;
Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Neue Gebäude (Anzahl);;;;;;;;;;;;;;;;;;;
;;;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart
;;;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnungen;Wohngebäude mit 3 oder mehr Wohnungen;Wohnheime;Wohngebäude mit Eigentumswohnungen;Nichtwohngebäude;Anstaltsgebäude;Büro- und Verwaltungsgebäude;Landwirtschaftliche Betriebsgebäude;Nichtlandwirtschaftliche Betriebsgebäude;Fabrik- und Werkstattgebäude;Handelsgebäude;Warenlagergebäude;Hotels und Gaststätten;Sonstige Nichtwohngebäude;Ausgewählte Infrastrukturgebäude
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Strom;6348;5621;431;289;7;157;542;20;83;18;291;114;.;.;20;130;156
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Fernwärme/Fernkälte;91;64;10;17;-;11;14;1;4;-;6;1;.;.;2;3;5
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Geothermie;376;278;56;42;-;23;41;-;11;-;17;7;.;.;1;13;13
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Umweltthermie;1108;907;118;83;-;56;105;2;12;2;67;24;.;.;5;22;25
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Solarthermie;30536;24932;2658;2916;30;1636;1186;66;178;31;650;252;.;.;60;261;338
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Holz;2237;1864;258;114;1;73;73;2;11;9;38;22;.;.;4;13;18
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Biogas/Biomethan;72;49;3;19;1;14;22;1;2;4;11;5;.;.;2;4;6
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Biomasse;35;31;2;2;-;-;9;-;1;-;6;2;.;.;-;2;2
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Energie;344;226;31;85;2;49;205;9;27;10;114;57;.;.;13;45;61
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Keine Energie;60613;47886;5383;7204;140;4444;24349;315;1345;6851;13586;3040;.;.;378;2252;3010
2015;Zur Heizung verwendete primäre Energie;Öl;1195;917;185;93;-;24;479;12;55;34;309;135;35;91;15;69;89
2015;Zur Heizung verwendete primäre Energie;Gas;54419;43499;4559;6243;118;3612;6141;244;802;219;3850;1480;805;1026;206;1026;1367
2015;Zur Heizung verwendete primäre Energie;Strom;990;848;93;44;5;25;515;20;61;20;336;128;49;101;18;78;143
2015;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;8271;5432;370;2412;57;1494;1465;112;308;26;575;199;112;133;77;444;560
2015;Zur Heizung verwendete primäre Energie;Geothermie;7477;6127;711;633;6;376;419;12;124;13;184;73;35;47;14;86;102
2015;Zur Heizung verwendete primäre Energie;Umweltthermie;25642;22147;2286;1196;13;726;1117;49;218;24;626;214;192;150;31;200;264
2015;Zur Heizung verwendete primäre Energie;Solarthermie;586;471;59;56;-;27;49;1;8;1;31;11;3;14;-;8;7
2015;Zur Heizung verwendete primäre Energie;Holz;5825;4318;661;833;13;619;847;24;61;109;536;234;37;157;25;117;147
2015;Zur Heizung verwendete primäre Energie;Biogas/Biomethan;233;159;27;44;3;27;89;-;9;18;52;22;6;23;-;10;21
2015;Zur Heizung verwendete primäre Energie;Sonstige Biomasse;344;236;48;55;5;35;49;-;15;8;19;6;3;7;1;7;10
2015;Zur Heizung verwendete primäre Energie;Sonstige Energie;419;307;45;67;-;27;193;5;14;28;124;54;26;33;3;22;26
2015;Zur Heizung verwendete primäre Energie;Keine Energie;167;142;11;14;-;9;13760;3;4;5752;7634;721;63;3757;10;367;584
2015;Zur Heizung verwendete sekundäre Energie;Öl;40;25;7;8;-;5;27;-;7;2;17;10;1;4;2;1;1
2015;Zur Heizung verwendete sekundäre Energie;Gas;715;431;60;220;4;143;237;8;45;12;125;55;26;30;6;47;54
2015;Zur Heizung verwendete sekundäre Energie;Strom;5755;5106;336;305;8;152;500;31;88;11;289;99;80;76;11;81;125
2015;Zur Heizung verwendete sekundäre Energie;Fernwärme/Fernkälte;98;77;2;19;-;13;20;1;3;-;8;4;-;3;-;8;11
2015;Zur Heizung verwendete sekundäre Energie;Geothermie;284;193;31;60;-;44;53;2;19;-;23;6;5;8;2;9;12
2015;Zur Heizung verwendete sekundäre Energie;Umweltthermie;873;683;92;96;2;58;151;2;30;1;94;33;24;23;8;24;30
2015;Zur Heizung verwendete sekundäre Energie;Solarthermie;18038;13714;1791;2493;40;1481;907;33;145;22;500;201;94;137;32;207;239
2015;Zur Heizung verwendete sekundäre Energie;Holz;17397;15084;1747;560;6;312;432;21;60;50;245;101;20;76;12;56;80
2015;Zur Heizung verwendete sekundäre Energie;Biogas/Biomethan;66;37;6;23;-;5;37;2;2;7;18;10;1;5;2;8;11
2015;Zur Heizung verwendete sekundäre Energie;Sonstige Biomasse;58;47;2;9;-;3;12;1;-;1;9;6;-;2;-;1;2
2015;Zur Heizung verwendete sekundäre Energie;Sonstige Energie;503;378;34;89;2;65;218;8;24;6;148;59;37;29;11;32;45
2015;Zur Heizung verwendete sekundäre Energie;Keine Energie;61741;48828;4947;7808;158;4720;22529;373;1256;6140;12800;2693;1078;5146;314;1960;2710
2015;Zur Warmwasserbereitung verwendete primäre Energie;Öl;760;579;118;62;1;18;290;6;31;16;191;84;25;50;9;46;58
2015;Zur Warmwasserbereitung verwendete primäre Energie;Gas;42846;33842;3645;5252;107;2995;4485;207;587;141;2749;1042;577;709;176;801;1058
2015;Zur Warmwasserbereitung verwendete primäre Energie;Strom;1603;1281;143;172;7;71;1898;41;315;49;1104;377;274;306;42;389;471
2015;Zur Warmwasserbereitung verwendete primäre Energie;Fernwärme/Fernkälte;7890;5214;347;2274;55;1401;1069;99;223;17;412;142;86;80;69;318;420
2015;Zur Warmwasserbereitung verwendete primäre Energie;Geothermie;6709;5514;631;558;6;336;300;10;91;8;138;50;28;38;10;53;69
2015;Zur Warmwasserbereitung verwendete primäre Energie;Umweltthermie;23986;20801;2112;1060;13;649;847;50;157;16;476;177;135;114;20;148;211
2015;Zur Warmwasserbereitung verwendete primäre Energie;Solarthermie;11168;9474;908;776;10;498;336;21;53;14;188;68;29;61;14;60;76
2015;Zur Warmwasserbereitung verwendete primäre Energie;Holz;4963;3617;545;788;13;598;534;20;51;65;321;153;24;89;17;77;109
2015;Zur Warmwasserbereitung verwendete primäre Energie;Biogas/Biomethan;215;150;24;38;3;22;59;-;7;14;30;18;4;7;-;8;16
2015;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Biomasse;299;199;43;53;4;35;39;-;11;6;15;7;2;4;-;7;10
2015;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Energie;201;129;21;51;-;24;117;3;11;15;71;35;11;18;2;17;21
2015;Zur Warmwasserbereitung verwendete primäre Energie;Keine Energie;4928;3803;518;606;1;354;15149;25;142;5891;8581;1124;171;4063;41;510;801
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Öl;104;71;18;15;-;5;18;-;3;1;12;7;1;4;-;2;2
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Gas;7569;6318;589;650;12;432;303;25;51;5;163;63;39;38;9;59;88
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Strom;6724;5949;402;365;8;183;616;30;112;21;345;125;90;86;20;108;155
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Fernwärme/Fernkälte;105;85;2;18;-;19;22;1;5;-;7;2;2;-;1;9;11
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Geothermie;396;307;41;48;-;30;38;3;8;-;19;3;5;6;3;8;12
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Umweltthermie;1228;982;130;115;1;76;109;2;16;3;65;22;15;16;8;23;26
2015;Zur Warmwasserbereitung verwendete sekund. Energie;Solarthermie;31182;24975;2866;3280;61;1846;1177;50;209;21;647;253;135;158;45;250;296
