GENESIS-Tabelle: 31111-0008
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;
Gebäudeart, Energieverwendung, Energieart;;;;;;;;;;;;;;;;;;;
Statistik der Baugenehmigungen;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Neue Gebäude (Anzahl);;;;;;;;;;;;;;;;;;;
;;;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart
;;;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnungen;Wohngebäude mit 3 oder mehr Wohnungen;Wohnheime;Wohngebäude mit Eigentumswohnungen;Nichtwohngebäude;Anstaltsgebäude;Büro- und Verwaltungsgebäude;Landwirtschaftliche Betriebsgebäude;Nichtlandwirtschaftliche Betriebsgebäude;Fabrik- und Werkstattgebäude;Handelsgebäude;Warenlagergebäude;Hotels und Gaststätten;Sonstige Nichtwohngebäude;Ausgewählte Infrastrukturgebäude
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Strom;6186;5510;424;248;4;136;559;16;102;15;302;103;.;.;17;124;149
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Fernwärme/Fernkälte;103;84;4;13;2;13;24;-;5;3;9;3;.;.;-;7;8
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Geothermie;422;331;56;34;1;36;41;3;8;-;20;6;.;.;2;10;12
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Umweltthermie;1071;878;93;99;1;65;106;3;16;2;59;24;.;.;4;26;29
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Solarthermie;32602;26639;2793;3119;51;1864;1319;51;215;37;709;280;.;.;69;307;366
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Holz;3430;2887;376;161;6;112;126;4;23;12;57;22;.;.;4;30;30
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Biogas/Biomethan;110;94;8;7;1;8;27;-;2;4;17;9;.;.;1;4;6
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Biomasse;66;58;5;3;-;2;13;-;2;2;8;-;.;.;-;1;1
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Energie;525;384;34;103;4;77;287;13;44;11;180;88;.;.;12;39;62
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Keine Energie;58437;46691;4730;6882;134;4347;27545;287;1456;8241;15218;3182;.;.;340;2343;3049
2013;Zur Heizung verwendete primäre Energie;Öl;1086;830;158;98;-;35;511;13;56;31;332;147;.;.;20;79;100
2013;Zur Heizung verwendete primäre Energie;Gas;56758;44947;4953;6749;109;3784;7056;225;871;310;4389;1662;.;.;291;1261;1566
2013;Zur Heizung verwendete primäre Energie;Strom;1113;956;94;60;3;29;587;13;96;28;346;137;.;.;17;104;158
2013;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;8955;5729;445;2739;42;1767;1765;140;344;46;685;228;.;.;117;550;699
2013;Zur Heizung verwendete primäre Energie;Geothermie;9003;7311;896;788;8;420;532;8;154;12;232;101;.;.;20;126;135
2013;Zur Heizung verwendete primäre Energie;Umweltthermie;27664;23705;2650;1297;12;805;1236;17;270;26;691;238;.;.;33;232;254
2013;Zur Heizung verwendete primäre Energie;Solarthermie;711;539;81;90;1;37;67;-;11;6;41;17;.;.;1;9;6
2013;Zur Heizung verwendete primäre Energie;Holz;6871;5020;827;1002;22;761;1060;25;83;154;642;292;.;.;34;156;187
2013;Zur Heizung verwendete primäre Energie;Biogas/Biomethan;278;168;34;73;3;39;122;4;2;24;77;39;.;.;5;15;34
