;;;1991;1991;1991;1991;1992;1992;1992;1992;1993;1993;1993;1993;1994;1994;1994;1994;1995;1995;1995;1995;1996;1996;1996;1996;1997;1997;1997;1997;1998;1998;1998;1998;1999;1999;1999;1999;2000;2000;2000;2000;2001;2001;2001;2001;2002;2002;2002;2002;2003;2003;2003;2003;2004;2004;2004;2004;2005;2005;2005;2005;2006;2006;2006;2006;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023
;;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal
Originalwerte; + Betriebsübersch./Selbständ.-,Verm.eink. priv.HH;Mrd. EUR;89,383;88,747;76,862;83,075;99,950;91,401;78,218;84,681;99,836;93,881;82,606;86,943;105,993;95,462;88,912;95,436;106,848;102,267;91,679;94,047;109,003;100,876;90,091;95,844;109,081;104,027;95,599;103,088;112,820;102,902;96,127;104,684;113,720;107,688;96,081;103,508;113,222;108,106;94,434;97,364;119,771;113,551;101,601;104,670;112,472;107,433;97,323;100,936;120,474;112,989;104,259;103,266;122,119;114,941;105,843;109,237;126,126;120,532;113,136;117,128;135,923;130,835;120,988;129,132;141,975;134,375;126,137;129,049;147,426;144,527;133,554;122,155;143,595;133,616;116,977;111,198;134,841;128,673;121,536;117,777;140,780;137,322;129,504;124,174;149,796;136,638;129,969;120,257;143,766;138,694;131,943;119,175;144,147;135,989;132,170;120,047;147,041;134,983;133,386;119,978;152,062;141,879;134,515;123,076;160,649;144,324;140,539;126,412;168,735;151,533;139,582;128,266;160,163;146,472;134,806;122,875;161,871;132,334;127,771;112,074;153,939;138,112;132,980;128,246;164,179;161,833;151,106;135,786;166,807;163,172;156,201;...
Originalwerte; + Weitere empfangene abzgl. geleistete Transfers;Mrd. EUR;-9,337;-9,801;-10,110;-11,200;-11,143;-10,176;-9,908;-11,167;-11,018;-10,409;-10,466;-12,516;-10,924;-10,187;-10,196;-13,380;-9,764;-8,655;-8,412;-11,627;-9,975;-8,792;-7,654;-10,513;-8,607;-7,036;-7,226;-11,471;-8,798;-8,750;-9,165;-13,632;-10,633;-11,248;-9,999;-14,304;-12,698;-13,985;-11,057;-16,239;-13,849;-13,710;-11,396;-14,760;-11,881;-12,656;-10,019;-13,723;-10,369;-10,171;-9,373;-12,941;-11,001;-10,222;-9,461;-12,538;-12,611;-10,454;-9,806;-13,671;-13,197;-13,365;-12,708;-17,031;-16,533;-14,959;-14,429;-19,149;-19,235;-17,745;-16,299;-20,865;-19,377;-18,322;-15,738;-17,980;-19,117;-17,630;-15,617;-18,263;-18,138;-17,684;-16,002;-19,847;-18,512;-17,839;-18,821;-20,443;-20,769;-19,491;-19,009;-20,578;-20,566;-17,786;-19,210;-21,260;-23,463;-16,931;-21,582;-22,629;-24,121;-19,390;-21,597;-24,049;-27,846;-22,087;-25,742;-26,072;-28,405;-22,828;-23,758;-24,094;-27,358;-24,427;-24,268;-26,400;-29,273;-16,800;-21,249;-24,719;-28,257;-21,460;-29,958;-35,014;-33,412;-27,404;-21,955;-26,283;-31,483;-24,394;-33,065;...
Originalwerte; = Verfügbares Einkommen der privaten Haushalte;Mrd. EUR;246,937;247,991;244,562;265,447;267,428;261,832;263,105;284,122;277,491;273,782;274,160;291,654;288,885;278,218;282,569;298,687;293,149;289,389;289,674;302,814;302,466;294,246;294,772;307,481;303,137;298,062;299,364;314,430;308,191;300,037;304,077;319,150;314,591;309,426;311,803;327,677;320,438;314,506;315,890;327,941;334,354;328,282;330,356;345,278;333,456;326,513;332,243;345,556;343,831;335,665;340,186;349,665;349,562;342,839;344,483;358,199;351,894;348,809;351,457;364,534;359,844;356,752;358,294;374,276;366,573;362,185;364,819;377,925;375,760;376,169;377,106;375,552;375,115;370,763;369,450;375,599;378,471;376,346;380,607;390,142;391,379;390,022;394,497;401,732;407,524;398,352;401,045;407,029;407,167;405,736;410,763;413,297;417,588;413,799;420,773;425,876;427,597;425,834;432,098;439,004;443,950;441,816;446,013;453,106;462,184;453,549;460,622;468,103;482,931;473,613;477,044;486,693;491,033;484,041;490,741;495,368;505,461;482,206;497,634;501,669;508,242;502,576;506,155;518,580;527,323;528,733;550,335;558,076;565,004;567,442;576,427;...
Originalwerte; nachrichtl.: Verfügb. Einkommen (Verbrauchskzpt.);Mrd. EUR;283,550;288,263;285,827;314,602;309,507;306,669;309,447;337,886;321,642;320,168;321,483;344,710;336,607;327,245;333,211;356,566;343,699;341,706;343,698;363,400;355,483;348,599;350,871;370,138;357,638;353,778;355,030;375,986;363,031;356,156;360,646;382,543;370,886;366,511;369,951;392,979;377,609;372,243;374,374;394,221;393,189;387,969;390,776;414,104;393,690;388,353;394,499;415,651;405,612;398,374;404,386;420,484;411,219;405,514;408,068;426,969;414,692;413,342;416,464;435,625;424,952;422,658;424,367;446,826;433,833;430,180;433,333;453,104;445,147;447,737;448,299;453,201;448,877;445,921;445,307;457,262;455,902;453,974;458,654;473,600;470,989;470,190;474,563;487,051;489,050;480,210;482,809;493,968;492,611;491,415;497,463;505,179;507,107;503,366;511,447;522,277;520,820;519,683;526,465;540,988;543,034;541,295;545,596;559,635;564,693;556,389;563,356;579,030;588,279;579,407;582,552;600,559;601,188;594,408;602,027;614,750;621,505;597,187;617,416;630,732;630,556;630,228;635,341;656,290;661,378;662,503;683,026;699,321;699,886;701,822;711,381;...
Originalwerte;              Zunahme betriebl. Versorg.ansprüche;Mrd. EUR;3,624;3,790;3,847;4,314;4,137;4,226;4,518;4,936;3,358;3,551;3,642;4,198;3,789;3,884;4,037;4,651;4,375;4,498;4,684;5,298;3,668;3,752;3,931;4,559;3,913;4,093;4,191;4,798;4,555;4,762;4,927;5,566;4,712;4,905;4,741;5,575;7,377;7,541;7,645;8,273;5,890;5,905;6,047;6,784;5,690;5,866;6,246;7,111;6,296;6,411;6,630;7,346;6,135;6,335;6,409;7,278;6,743;7,313;7,402;8,422;8,620;8,868;9,241;10,329;9,211;9,605;9,934;10,986;10,633;10,921;11,097;12,715;11,621;12,127;12,191;13,306;11,892;12,344;12,311;13,488;12,107;12,433;12,318;13,596;13,006;13,456;13,479;14,507;12,962;13,291;13,170;14,461;13,543;13,866;13,873;15,191;13,795;14,382;14,286;15,343;13,600;13,877;13,902;15,214;14,548;15,091;15,040;16,104;13,620;13,676;13,779;15,283;15,001;15,684;15,674;16,820;14,550;14,424;14,486;16,455;14,839;15,491;15,628;16,997;15,098;15,453;15,457;17,012;14,963;15,311;15,382;...
Originalwerte;              Sparen der privaten Haushalte;Mrd. EUR;40,917;33,011;27,317;30,612;45,121;33,086;30,381;32,217;45,155;34,083;28,643;31,909;44,113;31,749;28,967;31,831;44,534;32,049;28,816;30,489;44,682;31,717;27,458;29,075;43,166;29,948;27,233;29,637;44,346;30,444;26,759;28,640;41,247;28,797;26,481;29,534;42,463;28,039;24,545;27,162;45,004;31,145;28,379;31,664;44,698;31,473;29,362;31,877;50,449;33,866;31,127;31,859;50,904;35,395;31,521;33,173;49,953;34,792;31,999;36,053;50,977;37,178;32,966;36,961;54,493;37,624;32,943;36,573;56,082;42,539;37,023;33,483;52,948;38,607;33,573;34,656;54,238;38,932;33,905;35,319;53,558;39,109;34,616;35,863;55,329;38,876;33,710;33,117;51,737;38,134;33,088;34,104;55,500;40,960;36,229;37,921;57,189;43,652;38,072;40,457;61,661;44,442;40,018;41,641;66,513;47,159;42,625;46,479;72,657;52,746;47,987;49,859;72,793;50,745;46,283;50,008;85,990;100,764;69,783;81,682;113,177;85,134;53,883;60,824;77,536;55,923;54,579;60,152;78,001;65,147;61,174;...
Originalwerte;              Bezugsgröße für die Sparquote;Mrd. EUR;250,561;251,781;248,409;269,761;271,565;266,058;267,623;289,058;280,849;277,333;277,802;295,852;292,674;282,102;286,606;303,338;297,524;293,887;294,358;308,112;306,134;297,998;298,703;312,040;307,050;302,155;303,555;319,228;312,746;304,799;309,004;324,716;319,303;314,331;316,544;333,252;327,815;322,047;323,535;336,214;340,244;334,187;336,403;352,062;339,146;332,379;338,489;352,667;350,127;342,076;346,816;357,011;355,697;349,174;350,892;365,477;358,637;356,122;358,859;372,956;368,464;365,620;367,535;384,605;375,784;371,790;374,753;388,911;386,393;387,090;388,203;388,267;386,736;382,890;381,641;388,905;390,363;388,690;392,918;403,630;403,486;402,455;406,815;415,328;420,530;411,808;414,524;421,536;420,129;419,027;423,933;427,758;431,131;427,665;434,646;441,067;441,392;440,216;446,384;454,347;457,550;455,693;459,915;468,320;476,732;468,640;475,662;484,207;496,551;487,289;490,823;501,976;506,034;499,725;506,415;512,188;520,011;496,630;512,120;518,124;523,081;518,067;521,783;535,577;542,421;544,186;565,792;575,088;579,967;582,753;591,809;...
Originalwerte;              Sparquote der privaten Haushalte;Prozent;16,3;13,1;11,0;11,3;16,6;12,4;11,4;11,1;16,1;12,3;10,3;10,8;15,1;11,3;10,1;10,5;15,0;10,9;9,8;9,9;14,6;10,6;9,2;9,3;14,1;9,9;9,0;9,3;14,2;10,0;8,7;8,8;12,9;9,2;8,4;8,9;13,0;8,7;7,6;8,1;13,2;9,3;8,4;9,0;13,2;9,5;8,7;9,0;14,4;9,9;9,0;8,9;14,3;10,1;9,0;9,1;13,9;9,8;8,9;9,7;13,8;10,2;9,0;9,6;14,5;10,1;8,8;9,4;14,5;11,0;9,5;8,6;13,7;10,1;8,8;8,9;13,9;10,0;8,6;8,8;13,3;9,7;8,5;8,6;13,2;9,4;8,1;7,9;12,3;9,1;7,8;8,0;12,9;9,6;8,3;8,6;13,0;9,9;8,5;8,9;13,5;9,8;8,7;8,9;14,0;10,1;9,0;9,6;14,6;10,8;9,8;9,9;14,4;10,2;9,1;9,8;16,5;20,3;13,6;15,8;21,6;16,4;10,3;11,4;14,3;10,3;9,6;10,5;13,4;11,2;10,3;...
X13 JDemetra+  saisonbereinigt;   Arbeitnehmerentgelt (Inländer);Mrd. EUR;205,952;214,882;215,972;219,003;225,593;229,944;236,987;235,216;233,856;237,072;238,478;239,950;242,584;241,561;243,665;246,786;248,981;251,579;253,552;255,319;254,078;253,367;255,296;255,857;255,357;254,929;255,141;257,005;257,749;260,219;262,023;264,358;264,388;268,259;269,824;271,902;276,150;278,337;280,666;282,257;282,620;283,119;283,354;285,957;284,606;284,449;286,283;286,862;286,009;285,272;287,512;287,124;287,892;287,482;287,371;287,263;287,359;286,912;286,873;287,813;289,003;291,073;294,552;295,244;297,801;300,038;301,983;304,617;308,935;311,814;313,891;316,576;313,935;312,914;314,946;316,232;319,300;321,969;325,466;328,675;333,553;337,280;339,389;341,974;346,393;350,918;353,009;355,570;356,817;360,088;363,462;366,243;371,523;374,306;377,542;380,580;384,371;390,040;393,221;397,181;400,659;403,750;407,822;412,821;417,414;421,979;425,668;431,257;436,112;441,261;446,474;450,167;457,353;463,252;467,983;467,729;470,579;449,411;463,981;469,641;467,719;472,876;485,741;491,924;499,274;498,845;506,473;518,970;532,585;533,844;541,486;...
X13 JDemetra+  saisonbereinigt; - Sozialbeiträge der Arbeitgeber;Mrd. EUR;35,770;39,277;38,996;38,446;39,747;41,180;42,519;42,105;40,575;42,240;42,138;42,755;44,120;44,959;44,985;45,661;46,085;47,394;47,977;48,391;46,751;47,311;47,879;48,692;48,682;49,102;48,887;49,622;49,319;50,159;50,267;51,357;50,455;51,259;51,552;52,415;53,662;54,124;54,568;55,000;53,793;54,072;54,342;55,063;53,709;53,689;54,603;54,549;55,038;54,792;55,716;55,306;54,777;54,579;54,913;54,621;54,542;54,893;54,335;54,204;55,652;55,623;56,526;56,037;56,160;56,165;56,915;56,480;56,991;58,005;58,381;58,819;59,257;59,761;58,935;58,622;60,058;60,753;60,995;61,270;61,576;62,186;62,462;62,427;63,260;64,034;64,327;64,312;64,375;64,979;65,318;65,594;66,829;67,185;67,704;68,062;68,969;69,570;70,168;70,651;70,924;71,451;72,429;72,861;73,813;75,021;75,609;76,449;76,454;77,087;78,684;79,110;82,115;82,095;83,659;83,796;84,889;83,830;84,445;85,197;87,259;85,094;86,425;88,223;91,442;88,014;89,382;92,972;96,891;91,637;93,393;...
