GENESIS-Tabelle: 71141-0001
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Ausgaben): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Ausgabearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Ausgaben der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Zinsausgaben an andere Bereiche;2007;38721;932;-;118;21111;5061;115;66059
Zinsausgaben an andere Bereiche;2008;40171;589;-;218;21096;5175;111;67360
Zinsausgaben an andere Bereiche;2009;38099;749;-;166;20029;4367;105;63514
Zinsausgaben an andere Bereiche;2010;32617;1023;-;188;19709;4200;103;57840
Zinsausgaben an andere Bereiche;2011;31846;1328;-;185;19389;4128;101;56978
Laufende Zuweisungen an öffentlichen Bereich;1992;65199;17344;-;6910;40479;27325;484;157740
Laufende Zuweisungen an öffentlichen Bereich;1993;78834;18011;-;17062;44583;31301;527;190318
Laufende Zuweisungen an öffentlichen Bereich;1994;83651;18308;-;17594;45401;34061;584;199600
Laufende Zuweisungen an öffentlichen Bereich;1995;73266;769;-;19428;50115;35358;573;179509
Laufende Zuweisungen an öffentlichen Bereich;1996;85263;805;-;19444;51904;34908;647;192971
Laufende Zuweisungen an öffentlichen Bereich;1997;86095;814;-;17934;50301;33228;636;189009
Laufende Zuweisungen an öffentlichen Bereich;1998;93123;107;-;14803;48074;32796;570;189473
Laufende Zuweisungen an öffentlichen Bereich;1999;104039;1470;-;13030;49696;33221;579;202033
Laufende Zuweisungen an öffentlichen Bereich;2000;105904;1584;-;15625;52168;34592;552;210424
Laufende Zuweisungen an öffentlichen Bereich;2001;108431;1623;-;15242;53147;35275;474;214191
Laufende Zuweisungen an öffentlichen Bereich;2002;121744;1441;-;16076;51984;36457;506;228207
Laufende Zuweisungen an öffentlichen Bereich;2003;126221;2251;-;14339;51076;36686;471;231043
