GENESIS-Tabelle: 71141-0001
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Ausgaben): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Ausgabearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Ausgaben der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Darlehen an öffentlichen Bereich;1992;454;240;-;-;362;71;3;1129
Darlehen an öffentlichen Bereich;1993;390;33;-;-;417;61;3;903
Darlehen an öffentlichen Bereich;1994;399;4;-;-;308;75;1;787
Darlehen an öffentlichen Bereich;1995;365;1;-;562;312;81;3;1324
Darlehen an öffentlichen Bereich;1996;334;-;-;-;394;67;2;796
Darlehen an öffentlichen Bereich;1997;275;-;-;-;307;346;2;931
Darlehen an öffentlichen Bereich;1998;232;-;-;-;320;62;4;617
Darlehen an öffentlichen Bereich;1999;210;33;-;-;229;42;8;522
Darlehen an öffentlichen Bereich;2000;197;-;-;-;538;55;4;794
Darlehen an öffentlichen Bereich;2001;166;0;-;-;341;66;1;574
Darlehen an öffentlichen Bereich;2002;154;-;-;-;400;31;0;585
Darlehen an öffentlichen Bereich;2003;106;-;-;-;269;36;1;413
Darlehen an öffentlichen Bereich;2004;68;-;-;-;467;37;1;573
Darlehen an öffentlichen Bereich;2005;953;-;-;-;470;40;1;1463
Darlehen an öffentlichen Bereich;2006;32;-;-;-;337;34;0;403
Darlehen an öffentlichen Bereich;2007;1;-;-;-;204;33;0;239
Darlehen an öffentlichen Bereich;2008;1;-;-;-;127;38;1;167
Darlehen an öffentlichen Bereich;2009;1;-;-;-;39;36;5;81
Darlehen an öffentlichen Bereich;2010;1;-;-;-;71;33;11;116
Darlehen an öffentlichen Bereich;2011;1;-;-;-;80;58;11;150
Darlehen an andere Bereiche;1992;3663;6029;-;513;3239;949;6;14399
Darlehen an andere Bereiche;1993;5684;4906;-;582;3307;916;8;15402
Darlehen an andere Bereiche;1994;7835;5778;-;364;3244;881;21;18124
Darlehen an andere Bereiche;1995;7215;5431;-;212;3186;767;8;16820
Darlehen an andere Bereiche;1996;5197;4844;-;220;2936;708;39;13943
Darlehen an andere Bereiche;1997;5775;5525;-;116;3281;639;23;15359
Darlehen an andere Bereiche;1998;3448;6848;-;113;2932;495;9;13847
Darlehen an andere Bereiche;1999;3174;6004;-;72;2570;693;12;12526
Darlehen an andere Bereiche;2000;4008;5689;-;71;2287;535;10;12601
Darlehen an andere Bereiche;2001;3019;4282;-;58;1939;451;2;9750
Darlehen an andere Bereiche;2002;2574;3200;-;63;2245;525;1;8607
Darlehen an andere Bereiche;2003;2559;2422;-;103;1902;429;2;7416
Darlehen an andere Bereiche;2004;2315;2480;-;81;2110;514;2;7502
Darlehen an andere Bereiche;2005;2387;2116;-;29;1608;449;149;6740
Darlehen an andere Bereiche;2006;2078;4051;-;14;1704;436;1;8284
Darlehen an andere Bereiche;2007;2100;2080;-;20;1344;398;119;6061
Darlehen an andere Bereiche;2008;2395;29;-;18;1549;441;2;4434
Darlehen an andere Bereiche;2009;2490;24;-;38;1628;1028;3;5212
Darlehen an andere Bereiche;2010;2662;31;-;0;1694;687;1;5075
Darlehen an andere Bereiche;2011;2825;31;-;2;1880;698;8;5443
Erwerb von Beteiligungen;1992;839;-;-;37;972;1173;34;3055
Erwerb von Beteiligungen;1993;674;128;-;83;973;1019;244;3121
Erwerb von Beteiligungen;1994;996;-;-;134;465;1088;20;2703
Erwerb von Beteiligungen;1995;727;-;-;108;787;1066;268;2956
Erwerb von Beteiligungen;1996;762;-;-;115;1918;973;20;3788
Erwerb von Beteiligungen;1997;719;-;-;84;868;1162;102;2934
Erwerb von Beteiligungen;1998;681;-;-;98;1684;1065;88;3616
Erwerb von Beteiligungen;1999;629;-;-;41;817;1168;10;2665
Erwerb von Beteiligungen;2000;630;-;-;41;1347;1155;22;3194
Erwerb von Beteiligungen;2001;674;-;-;80;4224;1962;182;7122
Erwerb von Beteiligungen;2002;640;-;-;87;723;925;498;2872
Erwerb von Beteiligungen;2003;538;-;-;135;1200;936;34;2843
Erwerb von Beteiligungen;2004;548;-;-;43;802;843;15;2252
Erwerb von Beteiligungen;2005;559;-;-;46;4996;1110;41;6751
Erwerb von Beteiligungen;2006;578;-;-;192;1574;1085;68;3498
Erwerb von Beteiligungen;2007;632;-;-;167;1736;1097;2;3634
Erwerb von Beteiligungen;2008;704;8200;-;28;4018;1147;6;14103
Erwerb von Beteiligungen;2009;919;17507;-;59;7475;3670;12;29642
Erwerb von Beteiligungen;2010;810;3578;-;95;299;1638;25;6444
Erwerb von Beteiligungen;2011;788;5057;-;1;751;1689;5;8291
Tilgungsausgaben an öffentlichen Bereich;1992;-;-;-;-;319;531;46;895
Tilgungsausgaben an öffentlichen Bereich;1993;-;-;-;-;369;565;50;984
Tilgungsausgaben an öffentlichen Bereich;1994;-;-;-;-;412;588;48;1047
Tilgungsausgaben an öffentlichen Bereich;1995;-;-;-;-;455;534;43;1031
Tilgungsausgaben an öffentlichen Bereich;1996;-;-;-;-;453;471;42;966
Tilgungsausgaben an öffentlichen Bereich;1997;-;-;-;-;520;477;34;1030
Tilgungsausgaben an öffentlichen Bereich;1998;-;-;-;-;493;355;63;911
Tilgungsausgaben an öffentlichen Bereich;1999;-;-;-;-;513;386;17;917
Tilgungsausgaben an öffentlichen Bereich;2000;-;-;-;-;599;329;17;944
Tilgungsausgaben an öffentlichen Bereich;2001;-;-;-;-;334;353;11;698
Tilgungsausgaben an öffentlichen Bereich;2002;-;-;-;-;516;316;9;841
Tilgungsausgaben an öffentlichen Bereich;2003;-;-;-;-;486;308;17;811
Tilgungsausgaben an öffentlichen Bereich;2004;-;-;-;-;580;310;21;911
Tilgungsausgaben an öffentlichen Bereich;2005;-;-;-;-;435;387;18;839
Tilgungsausgaben an öffentlichen Bereich;2006;-;-;-;-;509;326;12;848
Tilgungsausgaben an öffentlichen Bereich;2007;-;-;-;-;349;387;10;746
Tilgungsausgaben an öffentlichen Bereich;2008;-;-;-;-;355;394;9;759
Tilgungsausgaben an öffentlichen Bereich;2009;-;-;-;-;380;395;20;795
Tilgungsausgaben an öffentlichen Bereich;2010;-;-;-;-;941;319;16;1276
Tilgungsausgaben an öffentlichen Bereich;2011;-;-;-;-;1058;227;12;1298
Ausgaben der Kapitalrechnung;1992;34397;6351;-;6964;41644;40748;2090;106042
Ausgaben der Kapitalrechnung;1993;33946;5132;-;7608;41893;39735;2529;104307
Ausgaben der Kapitalrechnung;1994;32112;5842;-;6958;40366;37976;2509;101749
Ausgaben der Kapitalrechnung;1995;34996;5982;-;8425;41566;36580;2510;102816
Ausgaben der Kapitalrechnung;1996;31755;5366;-;7351;42969;34352;1782;95748
Ausgaben der Kapitalrechnung;1997;29730;5668;-;5719;40952;33163;1707;91119
Ausgaben der Kapitalrechnung;1998;29904;8029;-;6457;39676;29790;1366;91502
Ausgaben der Kapitalrechnung;1999;29183;6712;-;6803;37578;29964;1097;88779
Ausgaben der Kapitalrechnung;2000;31061;5938;-;5369;38527;29902;940;89395
Ausgaben der Kapitalrechnung;2001;27824;4490;-;4812;38595;30197;1005;86233
Ausgaben der Kapitalrechnung;2002;24634;3331;-;4134;34696;28664;1272;78317
Ausgaben der Kapitalrechnung;2003;26049;4498;-;3369;36389;26371;837;79146
Ausgaben der Kapitalrechnung;2004;22679;3983;-;2632;32976;24317;825;69322
Ausgaben der Kapitalrechnung;2005;24041;2969;-;1444;35109;23549;942;70729
Ausgaben der Kapitalrechnung;2006;23035;4716;-;1124;31979;24172;790;69361
Ausgaben der Kapitalrechnung;2007;26392;2448;-;943;31271;24742;811;67170
Ausgaben der Kapitalrechnung;2008;26829;8644;-;809;34890;25021;748;80206
Ausgaben der Kapitalrechnung;2009;27363;24097;-;909;39520;29568;757;103355
Ausgaben der Kapitalrechnung;2010;26349;10266;-;832;35915;28590;843;79143
Ausgaben der Kapitalrechnung;2011;25971;12174;-;554;36124;27582;784;78804
