GENESIS-Tabelle: 71141-0002
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Einnahmen): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Einnahmearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Einnahmen der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Darlehensrückflüsse vom öffentlichen Bereich;2006;519;0;-;-;211;35;2;767
Darlehensrückflüsse vom öffentlichen Bereich;2007;410;-;-;-;277;43;2;732
Darlehensrückflüsse vom öffentlichen Bereich;2008;362;-;-;-;260;41;3;666
Darlehensrückflüsse vom öffentlichen Bereich;2009;351;-;-;-;143;41;12;547
Darlehensrückflüsse vom öffentlichen Bereich;2010;427;-;-;-;154;41;13;635
Darlehensrückflüsse vom öffentlichen Bereich;2011;713;-;-;-;151;44;11;919
Darlehensrückflüsse von anderen Bereichen;1992;1343;2186;-;300;943;342;4;5118
Darlehensrückflüsse von anderen Bereichen;1993;1299;3792;-;291;1149;453;6;6991
Darlehensrückflüsse von anderen Bereichen;1994;1459;4298;-;326;1401;567;9;8059
Darlehensrückflüsse von anderen Bereichen;1995;1386;3948;-;399;1870;595;3;8201
Darlehensrückflüsse von anderen Bereichen;1996;1799;5177;-;487;1609;742;7;9821
Darlehensrückflüsse von anderen Bereichen;1997;2578;5930;-;203;1649;733;38;11131
Darlehensrückflüsse von anderen Bereichen;1998;1933;6612;-;84;1444;652;2;10728
Darlehensrückflüsse von anderen Bereichen;1999;2557;6731;-;52;1459;751;3;11554
Darlehensrückflüsse von anderen Bereichen;2000;1375;3144;-;56;1350;530;2;6456
Darlehensrückflüsse von anderen Bereichen;2001;3826;6228;-;30;1275;592;3;11954
Darlehensrückflüsse von anderen Bereichen;2002;3804;3885;-;67;1472;1192;9;10429
Darlehensrückflüsse von anderen Bereichen;2003;3850;6408;-;115;1354;885;5;12617
Darlehensrückflüsse von anderen Bereichen;2004;4388;4655;-;110;1523;759;5;11439
Darlehensrückflüsse von anderen Bereichen;2005;10055;6346;-;120;1647;725;7;18900
Darlehensrückflüsse von anderen Bereichen;2006;8041;3264;-;60;1705;962;4;14035
Darlehensrückflüsse von anderen Bereichen;2007;1768;1322;-;54;1407;700;3;5254
Darlehensrückflüsse von anderen Bereichen;2008;1539;1006;-;53;1843;742;17;5200
Darlehensrückflüsse von anderen Bereichen;2009;1267;12;-;57;1518;1367;14;4235
Darlehensrückflüsse von anderen Bereichen;2010;1690;35;-;60;1720;975;11;4492
Darlehensrückflüsse von anderen Bereichen;2011;1976;27;-;52;1869;941;22;4887
Veräußerung von Beteiligungen;1992;20;108;-;0;63;215;9;415
Veräußerung von Beteiligungen;1993;63;0;-;0;97;272;200;633
Veräußerung von Beteiligungen;1994;688;1;-;2;1862;721;7;3280
Veräußerung von Beteiligungen;1995;6075;-;-;-;1496;367;2;7941
Veräußerung von Beteiligungen;1996;2112;44;-;1;1140;614;1;3912
Veräußerung von Beteiligungen;1997;5077;36;-;591;5310;837;1;11852
Veräußerung von Beteiligungen;1998;11578;48;-;3;3872;1724;0;17225
Veräußerung von Beteiligungen;1999;8276;32;-;0;3872;1090;0;13270
Veräußerung von Beteiligungen;2000;3674;39;-;2;783;1687;3;6189
Veräußerung von Beteiligungen;2001;7592;-;-;0;1993;1855;106;11547
Veräußerung von Beteiligungen;2002;5353;0;-;0;1799;2425;441;10019
Veräußerung von Beteiligungen;2003;5159;0;-;0;1992;1718;4;8873
Veräußerung von Beteiligungen;2004;8636;0;-;2124;2672;1415;4;14850
Veräußerung von Beteiligungen;2005;8919;-;-;3;2237;1333;16;12508
Veräußerung von Beteiligungen;2006;899;-;-;1;1905;1932;51;4788
Veräußerung von Beteiligungen;2007;4516;-;-;0;7116;1215;4;12851
Veräußerung von Beteiligungen;2008;6728;-;-;41;1464;556;3;8791
Veräußerung von Beteiligungen;2009;2219;-;-;0;174;529;2;2925
Veräußerung von Beteiligungen;2010;2285;-;-;0;169;1004;23;3481
Veräußerung von Beteiligungen;2011;2579;14566;-;1;216;593;4;17960
Schuldenaufnahmen vom öffentlichen Bereich;1992;-;-;-;-;412;773;73;1258
Schuldenaufnahmen vom öffentlichen Bereich;1993;-;-;-;-;341;636;60;1037
Schuldenaufnahmen vom öffentlichen Bereich;1994;-;-;-;-;319;549;58;925
Schuldenaufnahmen vom öffentlichen Bereich;1995;-;-;-;-;295;575;27;896
Schuldenaufnahmen vom öffentlichen Bereich;1996;-;-;-;-;280;751;27;1058
Schuldenaufnahmen vom öffentlichen Bereich;1997;-;-;-;-;267;603;22;892
Schuldenaufnahmen vom öffentlichen Bereich;1998;-;-;-;-;228;472;32;732
Schuldenaufnahmen vom öffentlichen Bereich;1999;-;-;-;-;208;394;11;613
Schuldenaufnahmen vom öffentlichen Bereich;2000;-;-;-;-;196;396;14;605
Schuldenaufnahmen vom öffentlichen Bereich;2001;-;-;-;-;175;313;10;498
Schuldenaufnahmen vom öffentlichen Bereich;2002;-;-;-;-;168;348;22;538
Schuldenaufnahmen vom öffentlichen Bereich;2003;-;-;-;-;121;430;21;571
Schuldenaufnahmen vom öffentlichen Bereich;2004;-;-;-;-;81;409;21;511
Schuldenaufnahmen vom öffentlichen Bereich;2005;-;-;-;-;69;322;17;408
Schuldenaufnahmen vom öffentlichen Bereich;2006;-;-;-;-;45;372;13;430
Schuldenaufnahmen vom öffentlichen Bereich;2007;-;-;-;-;17;355;18;390
Schuldenaufnahmen vom öffentlichen Bereich;2008;-;174;-;-;19;406;22;620
Schuldenaufnahmen vom öffentlichen Bereich;2009;-;-;-;-;166;308;26;500
Schuldenaufnahmen vom öffentlichen Bereich;2010;-;-;-;-;961;470;22;1454
Schuldenaufnahmen vom öffentlichen Bereich;2011;-;-;-;-;1701;308;5;2014
Einnahmen der Kapitalrechnung;1992;2358;2348;-;344;13331;21445;1121;14795
Einnahmen der Kapitalrechnung;1993;2258;3909;-;471;13995;22854;1375;18325
Einnahmen der Kapitalrechnung;1994;3578;4544;-;495;15322;23238;1308;24470
Einnahmen der Kapitalrechnung;1995;9846;4414;-;471;19661;22675;1382;31206
Einnahmen der Kapitalrechnung;1996;5749;6049;-;615;19717;23635;1142;29079
Einnahmen der Kapitalrechnung;1997;9786;7768;-;1142;22671;23085;1056;39690
Einnahmen der Kapitalrechnung;1998;15989;7591;-;239;20720;21969;768;43555
Einnahmen der Kapitalrechnung;1999;12408;6942;-;254;20179;20643;719;38588
Einnahmen der Kapitalrechnung;2000;58152;3445;-;136;16612;19905;613;76520
Einnahmen der Kapitalrechnung;2001;12501;6336;-;302;17343;18971;623;35386
Einnahmen der Kapitalrechnung;2002;10537;4186;-;149;14548;20023;948;31977
Einnahmen der Kapitalrechnung;2003;10137;6693;-;330;15001;18795;509;33100
Einnahmen der Kapitalrechnung;2004;14398;4781;-;2316;16050;17873;506;37834
Einnahmen der Kapitalrechnung;2005;20627;6467;-;123;16281;16951;498;43621
Einnahmen der Kapitalrechnung;2006;9772;3396;-;285;15787;17348;499;30633
Einnahmen der Kapitalrechnung;2007;7253;3595;-;399;20285;16258;477;28828
Einnahmen der Kapitalrechnung;2008;9149;1245;-;372;13741;15299;500;23573
Einnahmen der Kapitalrechnung;2009;5017;50;-;272;13900;15723;516;16619
Einnahmen der Kapitalrechnung;2010;9962;83;-;398;16652;17899;569;21909
Einnahmen der Kapitalrechnung;2011;6385;14640;-;246;18807;17371;546;33610
